PROJETOS
Projeto,Status,Data Início,Data Prevista,Responsável,Localização
ESPERANÇA,Documentação Layout Lógico,08/01/2025,14/01/2025,Em andamento,
ESPERANÇA,Documentação Layout Elétrico,08/01/2025,14/01/2025,Aguardando,
ESPERANÇA,Solicitação de Acesso Remoto,15/01/2025,20/01/2025,Não iniciado,
ESPERANÇA,Solicitação de VPN,15/01/2025,20/01/2025,Não iniciado,
ESPERANÇA,Solicitação Range de IPs,15/01/2025,20/01/2025,Não iniciado,
ESPERANÇA,Validação Acesso Remoto - Homolog,21/01/2025,28/01/2025,Não iniciado,
ESPERANÇA,Validação VPN - Homolog,21/01/2025,28/01/2025,Não iniciado,
ESPERANÇA,Validação Acesso Remoto - Produção,29/01/2025,05/02/2025,Não iniciado,
ESPERANÇA,Validação VPN - Produção,29/01/2025,05/02/2025,Não iniciado,
ESPERANÇA,Criar procedimento de trabalho,06/02/2025,12/02/2025,Não iniciado,
ESPERANÇA,Lembretes (validações periódicas),13/02/2025,20/02/2025,Não iniciado,
ESPERANÇA,Range de IPs - Atualizar documentação,21/02/2025,28/02/2025,Não iniciado,
ESPERANÇA,Concluído,01/03/2025,05/03/2025,Não iniciado,
PBL GUATEMALA,KICKOFF INTERNO,10/01/2025,12/01/2025,Aguardando,
PBL GUATEMALA,Documentação Layout Lógico,13/01/2025,20/01/2025,Não iniciado,
PBL GUATEMALA,Solicitação de Acesso Remoto,21/01/2025,27/01/2025,Não iniciado,
PBL GUATEMALA,Solicitação de VPN,21/01/2025,27/01/2025,Não iniciado,
NAVEPARK,KICKOFF INTERNO,01/11/2024,03/11/2024,Concluído,
NAVEPARK,Documentação Layout Lógico,04/11/2024,10/11/2024,Concluído,
NAVEPARK,Solicitação de Acesso Remoto,11/11/2024,15/11/2024,Concluído,
NAVEPARK,Solicitação de VPN,11/11/2024,15/11/2024,Concluído,
NAVEPARK,Validação Acesso Remoto - Homolog,16/11/2024,22/11/2024,Concluído,
NAVEPARK,Validação VPN - Homolog,16/11/2024,22/11/2024,Concluído,
NAVEPARK,Validação Acesso Remoto - Produção,23/11/2024,30/11/2024,Concluído,
NAVEPARK,Validação VPN - Produção,23/11/2024,30/11/2024,Concluído,
NAVEPARK,Criar procedimento de trabalho,01/12/2024,10/12/2024,Concluído,
NAVEPARK,Range de IPs - Atualizar documentação,11/12/2024,18/12/2024,Concluído,
NAVEPARK,Concluído,19/12/2024,20/01/2025,Concluído,
